징수년,징수시도,징수시군구,징수분류,징수금액
2014,울산,중구,취득세,56536972
2014,울산,남구,취득세,89544343
2014,울산,동구,취득세,32136817
2014,울산,북구,취득세,50735739
2014,울산,울주군,취득세,90068979
2014,울산,중구,주민세,626108
2014,울산,남구,주민세,1500042
2014,울산,동구,주민세,463642
2014,울산,북구,주민세,569049
2014,울산,울주군,주민세,12244174
2014,울산,중구,지방소득세,16690466
2014,울산,남구,지방소득세,118768991
2014,울산,동구,지방소득세,48737114
2014,울산,북구,지방소득세,98896747
2014,울산,울주군,지방소득세,69648099
2015,울산,중구,취득세,64577691
2015,울산,남구,취득세,96515113
2015,울산,동구,취득세,27007192
2015,울산,북구,취득세,63713595
2015,울산,울주군,취득세,103024127
2015,울산,중구,주민세,648517
2015,울산,남구,주민세,1456940
2015,울산,동구,주민세,469133
2015,울산,북구,주민세,612153
2015,울산,울주군,주민세,13064450
2015,울산,중구,지방소득세,25010804
2015,울산,남구,지방소득세,119587124
2015,울산,동구,지방소득세,47550217
2015,울산,북구,지방소득세,143450413
2015,울산,울주군,지방소득세,81916168
2016,울산,중구,취득세,48000837
2016,울산,남구,취득세,106490330
2016,울산,동구,취득세,33504248
2016,울산,북구,취득세,70159631
2016,울산,울주군,취득세,136476387
2016,울산,중구,주민세,912587
2016,울산,남구,주민세,1855010
2016,울산,동구,주민세,657913
2016,울산,북구,주민세,811903
2016,울산,울주군,주민세,14359075
2016,울산,중구,지방소득세,28243448
2016,울산,남구,지방소득세,145132239
2016,울산,동구,지방소득세,43583580
2016,울산,북구,지방소득세,156141025
2016,울산,울주군,지방소득세,97426982
